
Virus Strain Name,Accession ID,Data Source,Related ID,Nuc.Completeness,Sequence Length,Sequence Quality,Quality Assessment,Host,Sample Collection Date,Location,Originating Lab,Submission Date,Submitting Lab
hCoV-19/England/20100024006/2020,EPI_ISL_415138,GISAID,,Complete,29903,Low,309/0/NA/NA/NA,Homo sapiens,2020-03-02,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20100077906/2020,EPI_ISL_415139,GISAID,,Complete,29903,Low,460/0/NA/NA/NA,Homo sapiens,2020-03-01,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20100121006/2020,EPI_ISL_415140,GISAID,,Complete,29903,Low,273/0/NA/NA/NA,Homo sapiens,2020-02-29,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20100121007/2020,EPI_ISL_415141,GISAID,,Complete,29903,Low,50/0/NA/NA/NA,Homo sapiens,2020-02-29,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20100122106/2020,EPI_ISL_415142,GISAID,,Complete,29903,Low,58/0/NA/NA/NA,Homo sapiens,2020-03-02,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20100122107/2020,EPI_ISL_415143,GISAID,,Complete,29903,Low,262/0/NA/NA/NA,Homo sapiens,2020-03-02,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20102000106/2020,EPI_ISL_415144,GISAID,,Complete,29903,Low,289/0/NA/NA/NA,Homo sapiens,2020-02-27,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20102000206/2020,EPI_ISL_415145,GISAID,,Complete,29903,Low,290/1/NA/NA/NA,Homo sapiens,2020-03-01,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20102000306/2020,EPI_ISL_415146,GISAID,,Complete,29903,Low,228/0/NA/NA/NA,Homo sapiens,2020-03-01,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20102000506/2020,EPI_ISL_415147,GISAID,,Complete,29903,Low,204/0/NA/NA/NA,Homo sapiens,2020-03-01,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20102000906/2020,EPI_ISL_415148,GISAID,,Complete,29903,Low,63/1/NA/NA/NA,Homo sapiens,2020-03-03,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20102068506/2020,EPI_ISL_415149,GISAID,,Complete,29903,Low,305/1/NA/NA/NA,Homo sapiens,2020-03-01,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/England/20110003506/2020,EPI_ISL_415150,GISAID,,Complete,29903,Low,196/0/NA/NA/NA,Homo sapiens,2020-03-09,United Kingdom / England,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-03-16,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
hCoV-19/USA/NY2-PV08100/2020,EPI_ISL_415151,GISAID,,Complete,29760,High,0/0/0/7/NO,Homo sapiens,2020-03-04,United States / New York,MSHS Clinical Microbiology Laboratories,2020-03-16,MSHS Pathogen Surveillance Program
hCoV-19/Panama/328677/2020,EPI_ISL_415152,GISAID,,Complete,29865,Low,133/14/NA/NA/NA,Homo sapiens,2020-03-06,Panama / Panama City,Gorgas Memorial Institute for Health Studies,2020-03-16,Gorgas Memorial Institute for Health Studies
hCoV-19/Belgium/VLM-03011/2020,EPI_ISL_415153,GISAID,,Complete,29843,High,0/0/0/11/YES,Homo sapiens,2020-03-03,Belgium / Huldenberg,"KU Leuven, Clinical and Epidemiological Virology",2020-03-16,"KU Leuven, Clinical and Epidemiological Virology"
hCoV-19/Belgium/BM-03012/2020,EPI_ISL_415154,GISAID,,Complete,29843,High,0/0/0/7/YES,Homo sapiens,2020-03-01,Belgium / Kraainem,"KU Leuven, Clincal and Epidemiological Virology",2020-03-16,"KU Leuven, Clincal and Epidemiological Virology"
hCoV-19/Belgium/VAG-03013/2020,EPI_ISL_415155,GISAID,,Complete,29843,High,0/0/0/9/YES,Homo sapiens,2020-03-01,Belgium / Huldenberg,"KU Leuven, Clinical and Epidemiological Virology",2020-03-16,"KU Leuven, Clinical and Epidemiological Virology"
hCoV-19/Belgium/SH-03014/2020,EPI_ISL_415156,GISAID,,Complete,29843,High,0/0/0/5/NO,Homo sapiens,2020-03-01,Belgium / Huldenberg,"KU Leuven, Clinical and Epidemiological Virology",2020-03-16,"KU Leuven, Clinical and Epidemiological Virology"
hCoV-19/Belgium/BC-03016/2020,EPI_ISL_415157,GISAID,,Complete,29843,High,0/0/0/9/YES,Homo sapiens,2020-03-01,Belgium / Sint-Niklaas,"KU Leuven, Clinical and Epidemiological Virology",2020-03-16,"KU Leuven, Clinical and Epidemiological Virology"
hCoV-19/Belgium/QKJ-03015/2020,EPI_ISL_415158,GISAID,,Complete,29843,High,0/0/0/9/YES,Homo sapiens,2020-03-01,Belgium / Brussels,"KU Leuven, Clinical and Epidemiological Virology",2020-03-16,"KU Leuven, Clinical and Epidemiological Virology"
hCoV-19/Belgium/BA-02291/2020,EPI_ISL_415159,GISAID,,Complete,29843,High,0/0/0/13/YES,Homo sapiens,2020-02-29,Belgium / Leuven,"KU Leuven, Clinical and Epidemiological Virology",2020-03-16,"KU Leuven, Clinical and Epidemiological Virology"
hCoV-19/Indonesia/NIHRD655/2020,EPI_ISL_414376,GISAID,,Partial,387,High,0/0/NA/NA/NA,Homo sapiens,2020-03-01,Indonesia / Jakarta,National Institute of Health Research and Development,2020-03-12,National Institute of Health Research and Development
hCoV-19/Indonesia/NIHRD651/2020,EPI_ISL_414377,GISAID,,Partial,387,High,0/0/NA/NA/NA,Homo sapiens,2020-03-01,Indonesia / Jakarta,National Institute of Health Research and Development,2020-03-12,National Institute of Health Research and Development
hCoV-19/France/GE1583/2020/P1,EPI_ISL_414623,GISAID,,Complete,29903,High,0/0/0/11/YES,Homo sapiens,2020-02-25,France / Grand-Est / Strasbourg,Laboratoire de Virologie Institut de Virologie - INSERM U 1109 Hôpitaux Universitaires de Strasbourg,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/N1620/2020/P1,EPI_ISL_414624,GISAID,,Complete,29903,High,0/0/0/7/NO,Homo sapiens,2020-02-26,France / Normandie / Rouen,Centre Hositalier Universitaire de Rouen Laboratoire de Virologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/PL1643/2020,EPI_ISL_414625,GISAID,,Complete,29903,High,0/0/0/8/NO,Homo sapiens,2020-02-26,France / Pays de la Loire / Nantes,Centre Hospitalier Régional Universitaire de Nantes Laboratoire de Virologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/HF1684/2020,EPI_ISL_414626,GISAID,,Complete,29903,High,0/0/0/6/NO,Homo sapiens,2020-02-29,France / Hauts de France / Crépy en Valois,,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/Guangzhou/GZMU0016/2020,EPI_ISL_414663,GISAID,,Complete,29904,High,0/0/0/25/YES,Homo sapiens,2020-02-25,China / Guangdong / Guangzhou,"State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University",2020-03-16,the First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen
hCoV-19/Guangzhou/GZMU0030/2020/P1,EPI_ISL_414684,GISAID,,Complete,29858,High,3/0/0/3/NO,Homo sapiens,2020-02-27,China / Guangdong / Guangzhou,"State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University",2020-03-16,The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen
hCoV-19/Guangzhou/GZMU0030/2020,EPI_ISL_414685,GISAID,,Complete,29858,High,3/0/0/3/NO,Homo sapiens,2020-02-27,China / Guangdong / Guangzhou,"State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University",2020-03-16,The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen
hCoV-19/Guangzhou/GZMU0030/2020/P2,EPI_ISL_414686,GISAID,,Complete,29858,High,3/0/0/3/NO,Homo sapiens,2020-02-27,China / Guangdong / Guangzhou,"State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University",2020-03-16,The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen
hCoV-19/Guangzhou/GZMU0031/2020,EPI_ISL_414687,GISAID,,Complete,29860,High,3/0/0/0/NO,Homo sapiens,2020-02-25,China / Guangdong / Guangzhou,"State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University",2020-03-16,the First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen
hCoV-19/Guangzhou/GZMU0042/2020,EPI_ISL_414688,GISAID,,Complete,29855,High,0/0/1/6/YES,Homo sapiens,2020-02-25,China / Guangdong / Guangzhou,"State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University",2020-03-16,The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen
hCoV-19/Guangzhou/GZMU0044/2020,EPI_ISL_414689,GISAID,,Complete,29861,High,0/0/0/2/NO,Homo sapiens,2020-02-25,China / Guangdong / Guangzhou,"State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University",2020-03-16,The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen
hCoV-19/Guangzhou/GZMU0048/2020,EPI_ISL_414691,GISAID,,Complete,29927,High,0/0/0/3/NO,Homo sapiens,2020-02-25,China / Guangdong / Guangzhou,"State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University",2020-03-16,The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen
hCoV-19/Guangzhou/GZMU0014/2020,EPI_ISL_414692,GISAID,,Complete,29861,High,0/0/0/3/NO,Homo sapiens,2020-02-25,China / Guangdong / Guangzhou,"State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University",2020-03-16,The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen
hCoV-19/Shandong/LY001/2020,EPI_ISL_414934,GISAID,,Complete,29870,Low,2464/0/NA/NA/NA,Homo sapiens,2020-01-21,China / Shandong,Shandong Provincial Center for Disease Control and Prevention,2020-03-16,Beijing Institute of Microbiology and Epidemiology
hCoV-19/Shandong/LY002/2020,EPI_ISL_414935,GISAID,,Partial,29719,Low,2416/0/NA/NA/NA,Homo sapiens,2020-01-21,China / Shandong,Shandong Provincial Center for Disease Control and Prevention,2020-03-16,Beijing Institute of Microbiology and Epidemiology
hCoV-19/Shandong/LY003/2020,EPI_ISL_414936,GISAID,,Partial,29535,High,0/0/NA/NA/NA,Homo sapiens,2020-01-23,China / Shandong,Shandong Provincial Center for Disease Control and Prevention,2020-03-16,Beijing Institute of Microbiology and Epidemiology
hCoV-19/Shandong/LY004/2020,EPI_ISL_414937,GISAID,,Partial,29533,High,0/0/NA/NA/NA,Homo sapiens,2020-01-26,China / Shandong,Shandong Provincial Center for Disease Control and Prevention,2020-03-16,Beijing Institute of Microbiology and Epidemiology
hCoV-19/Shandong/LY005/2020,EPI_ISL_414938,GISAID,,Complete,29783,High,0/0/1/4/NO,Homo sapiens,2020-01-24,China / Shandong,Shandong Provincial Center for Disease Control and Prevention,2020-03-16,Beijing Institute of Microbiology and Epidemiology
hCoV-19/Shandong/LY006/2020,EPI_ISL_414939,GISAID,,Partial,29880,Low,432/0/NA/NA/NA,Homo sapiens,2020-01-25,China / Shandong,Shandong Provincial Center for Disease Control and Prevention,2020-03-16,Beijing Institute of Microbiology and Epidemiology
hCoV-19/Shandong/LY007/2020,EPI_ISL_414940,GISAID,,Complete,29853,High,0/0/1/13/YES,Homo sapiens,2020-01-25,China / Shandong,Shandong Provincial Center for Disease Control and Prevention,2020-03-16,Beijing Institute of Microbiology and Epidemiology
hCoV-19/Shandong/LY008/2020,EPI_ISL_414941,GISAID,,Complete,29868,High,0/0/0/3/NO,Homo sapiens,2020-01-30,China / Shandong,Shandong Provincial Center for Disease Control and Prevention,2020-03-16,Beijing Institute of Microbiology and Epidemiology
hCoV-19/USA/WA-UW34/2020,EPI_ISL_414621,GISAID,,Complete,29697,High,7/0/0/5/NO,Homo sapiens,2020-03-08,United States / Washington / Kirkland,UW Virology Lab,2020-03-15,UW Virology Lab
hCoV-19/USA/WA-UW35/2020,EPI_ISL_414622,GISAID,,Complete,29727,Low,50/0/NA/NA/NA,Homo sapiens,2020-03-08,United States / Washington / Seattle,UW Virology Lab,2020-03-15,UW Virology Lab
hCoV-19/France/HF1871/2020,EPI_ISL_414630,GISAID,,Complete,29903,High,0/0/0/9/NO,Homo sapiens,2020-03-03,France / Hauts de France / Compiègne,Centre Hospitalier Compiègne Laboratoire de Biologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/HF1870/2020,EPI_ISL_414629,GISAID,,Complete,29902,High,0/0/1/7/NO,Homo sapiens,2020-03-03,France / Hauts de France / Compiègne,Centre Hospitalier Compiègne Laboratoire de Biologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/HF1805/2020,EPI_ISL_414628,GISAID,,Complete,29902,High,0/0/1/9/YES,Homo sapiens,2020-03-02,France / Hauts de France / Compiègne,Centre Hospitalier Compiègne Laboratoire de Biologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/HF1795/2020,EPI_ISL_414627,GISAID,,Complete,29897,High,0/0/0/8/NO,Homo sapiens,2020-03-02,France / Hauts de France / Compiègne,Centre Hospitalier Compiègne Laboratoire de Biologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/GE1973/2020,EPI_ISL_414631,GISAID,,Complete,29903,High,0/0/0/4/NO,Homo sapiens,2020-03-04,France / Grand-Est / Reims,Hôpital Robert Debré Laboratoire de Virologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/GE1977/2020,EPI_ISL_414632,GISAID,,Complete,29903,High,0/0/0/10/NO,Homo sapiens,2020-03-04,France / Grand-Est / Reims,Hôpital Robert Debré Laboratoire de Virologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/IDF1980/2020,EPI_ISL_414633,GISAID,,Complete,29903,High,0/0/0/13/YES,Homo sapiens,2020-03-04,France / Ile-de-France / Pontoise,Centre Hospitalier René Dubois Laboratoire de Microbiologie - Bât A,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/HF1986/2020,EPI_ISL_414634,GISAID,,Complete,29902,High,0/0/1/13/YES,Homo sapiens,2020-03-04,France / Hauts de France / Compiègne,Centre Hospitalier Compiègne Laboratoire de Biologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/HF1988/2020,EPI_ISL_414635,GISAID,,Complete,29903,High,0/0/0/8/NO,Homo sapiens,2020-03-04,France / Hauts de France / Compiègne,Centre Hospitalier Compiègne Laboratoire de Biologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/HF1993/2020,EPI_ISL_414637,GISAID,,Complete,29903,High,0/0/0/12/YES,Homo sapiens,2020-03-04,France / Hauts de France / Compiègne,Centre Hospitalier Compiègne Laboratoire de Biologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/HF1989/2020,EPI_ISL_414636,GISAID,,Complete,29902,High,0/0/1/12/YES,Homo sapiens,2020-03-04,France / Hauts de France / Compiègne,Centre Hospitalier Compiègne Laboratoire de Biologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/France/HF1995/2020,EPI_ISL_414638,GISAID,,Complete,29903,High,0/0/0/7/NO,Homo sapiens,2020-03-04,France / Hauts de France / Compiègne,Centre Hospitalier Compiègne Laboratoire de Biologie,2020-03-15,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
hCoV-19/Brazil-RJ/314/2020,EPI_ISL_414045,GISAID,,Complete,29768,High,1/0/0/4/NO,Homo sapiens,2020-03-04,Brazil / Rio de Janeiro / Rio de Janeiro,LACEN RJ - Laboratório Central de Saúde Pública Noel Nutels,2020-03-11,Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
hCoV-19/Finland/FIN-313/2020,EPI_ISL_414641,GISAID,,Complete,29807,High,0/0/0/10/YES,Homo sapiens,2020-03-05,Finland,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",2020-03-15,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"
hCoV-19/Finland/FIN-455/2020,EPI_ISL_414642,GISAID,,Complete,29809,High,0/0/0/6/NO,Homo sapiens,2020-03-08,Finland,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",2020-03-15,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"
hCoV-19/Finland/FIN-508/2020,EPI_ISL_414643,GISAID,,Complete,29809,High,0/0/0/8/YES,Homo sapiens,2020-03-07,Finland,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",2020-03-15,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"
hCoV-19/Finland/FIN-266/2020,EPI_ISL_414646,GISAID,,Complete,29807,High,0/0/0/5/NO,Homo sapiens,2020-03-04,Finland,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",2020-03-15,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"
hCoV-19/Finland/FIN-114/2020,EPI_ISL_414640,GISAID,,Complete,29806,Low,690/0/NA/NA/NA,Homo sapiens,2020-03-01,Finland,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",2020-03-15,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"
hCoV-19/Finland/FIN-274/2020,EPI_ISL_414645,GISAID,,Complete,29809,Low,508/0/NA/NA/NA,Homo sapiens,2020-03-04,Finland,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",2020-03-15,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"
hCoV-19/Finland/FIN-318/2020,EPI_ISL_414644,GISAID,,Complete,29806,Low,399/0/NA/NA/NA,Homo sapiens,2020-03-04,Finland,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",2020-03-15,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"
hCoV-19/USA/NY-NYUMC1/2020,EPI_ISL_414639,GISAID,,Complete,29903,Low,4694/0/NA/NA/NA,Homo sapiens,2020-03-04,United States / New York / Nassau County,NYU Langone Health,2020-03-15,"Departments of Pathology and Medicine, New York University School of Medicine"
hCoV-19/USA/WA-UW30/2020,EPI_ISL_414617,GISAID,,Complete,29855,High,15/0/0/9/YES,Homo sapiens,2020-03-08,United States,UW Virology Lab,2020-03-15,UW Virology Lab
